id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_genus_name
3477917,2016/06/18 11:07 AM -0400,2016-06-18,2016-06-18 14:07:00 UTC,Atlantic Time (Canada),10787,maractwin,2016-06-18 18:17:13 UTC,2016-06-18 19:43:34 UTC,research,CC-BY,http://www.inaturalist.org/observations/3477917,https://static.inaturalist.org/photos/4043311/medium.jpg?1466273739,,"broad meadow brook, butterflies, hoary edge, worcester",,1,0,false,,"Worcester, Massachusetts, United States",42.23703,-71.7765816667,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Hoary Edge,Achalarus lyciades,Hoary Edge,Insecta,127929,Achalarus
3477918,2016/06/18 11:09 AM -0400,2016-06-18,2016-06-18 14:09:00 UTC,Atlantic Time (Canada),10787,maractwin,2016-06-18 18:17:13 UTC,2020-05-07 01:25:22 UTC,research,CC-BY,http://www.inaturalist.org/observations/3477918,https://static.inaturalist.org/photos/4043312/medium.jpg?1466273739,,"broad meadow brook, plants, whirled loosestrife, worcester",,1,0,false,,"Worcester, Massachusetts, United States",42.23693,-71.77619,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Whorled Loosestrife,Lysimachia quadrifolia,whorled loosestrife,Plantae,82580,Lysimachia
3477920,2016/06/18 11:13 AM -0400,2016-06-18,2016-06-18 14:13:00 UTC,Atlantic Time (Canada),10787,maractwin,2016-06-18 18:17:15 UTC,2019-01-08 15:54:34 UTC,research,CC-BY,http://www.inaturalist.org/observations/3477920,https://static.inaturalist.org/photos/4043313/medium.jpg?1466273740,,"azure bluet, broad meadow brook, damselflies, worcester",,1,0,false,,"Worcester, Massachusetts, United States",42.23656,-71.77632,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Azure Bluet,Enallagma aspersum,Azure Bluet,Insecta,99891,Enallagma
3477921,2016/06/18 11:18 AM -0400,2016-06-18,2016-06-18 14:18:00 UTC,Atlantic Time (Canada),10787,maractwin,2016-06-18 18:17:15 UTC,2016-06-18 19:44:00 UTC,research,CC-BY,http://www.inaturalist.org/observations/3477921,https://static.inaturalist.org/photos/4043315/medium.jpg?1466273742,,"Achalarus lyciades, broad meadow brook, butterflies, hoary edge, worcester",,1,0,false,,"Worcester, Massachusetts, United States",42.235825,-71.77524,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Hoary Edge,Achalarus lyciades,Hoary Edge,Insecta,127929,Achalarus
3477923,2016/06/18 11:24 AM -0400,2016-06-18,2016-06-18 14:24:00 UTC,Atlantic Time (Canada),10787,maractwin,2016-06-18 18:17:17 UTC,2016-06-19 04:12:05 UTC,research,CC-BY,http://www.inaturalist.org/observations/3477923,https://static.inaturalist.org/photos/4043318/medium.jpg?1466273746,,"broad meadow brook, butterflies, peck's skipper, worcester",,1,0,false,,"Worcester, Massachusetts, United States",42.2352633333,-71.7749766667,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Peck's Skipper,Polites peckius,Peck's Skipper,Insecta,133631,Polites
3477924,2016/06/18 11:25 AM -0400,2016-06-18,2016-06-18 14:25:00 UTC,Atlantic Time (Canada),10787,maractwin,2016-06-18 18:17:17 UTC,2016-06-19 04:12:01 UTC,research,CC-BY,http://www.inaturalist.org/observations/3477924,https://static.inaturalist.org/photos/4043319/medium.jpg?1466273747,,"broad meadow brook, butterflies, silver-spotted skipper, worcester",,1,0,false,,"Worcester, Massachusetts, United States",42.2348116667,-71.7748533333,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Silver-spotted Skipper,Epargyreus clarus,Silver-spotted Skipper,Insecta,81559,Epargyreus
3477925,2016/06/18 11:27 AM -0400,2016-06-18,2016-06-18 14:27:00 UTC,Atlantic Time (Canada),10787,maractwin,2016-06-18 18:17:18 UTC,2017-03-04 12:09:20 UTC,research,CC-BY,http://www.inaturalist.org/observations/3477925,https://static.inaturalist.org/photos/4043320/medium.jpg?1466273748,,"broad meadow brook, butterflies, northern cloudywing, worcester",,1,0,false,,"Worcester, Massachusetts, United States",42.2345983333,-71.77474,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Northern Cloudywing,Thorybes pylades,Northern Cloudywing,Insecta,58469,Thorybes
3477926,2016/06/18 11:29 AM -0400,2016-06-18,2016-06-18 14:29:00 UTC,Atlantic Time (Canada),10787,maractwin,2016-06-18 18:17:19 UTC,2016-06-19 04:12:31 UTC,research,CC-BY,http://www.inaturalist.org/observations/3477926,https://static.inaturalist.org/photos/4043322/medium.jpg?1466273750,,"broad meadow brook, butterflies, dusted skipper, worcester",,1,0,false,,"Worcester, Massachusetts, United States",42.2344983333,-71.774615,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Dusted Skipper,Atrytonopsis hianna,Dusted Skipper,Insecta,58516,Atrytonopsis
3477927,2016/06/18 11:33 AM -0400,2016-06-18,2016-06-18 14:33:00 UTC,Atlantic Time (Canada),10787,maractwin,2016-06-18 18:17:20 UTC,2016-06-19 12:41:52 UTC,research,CC-BY,http://www.inaturalist.org/observations/3477927,https://static.inaturalist.org/photos/4043324/medium.jpg?1466273753,,"broad meadow brook, butterflies, great spangled fritillary, worcester",,1,0,false,,"Worcester, Massachusetts, United States",42.23436,-71.774815,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Great Spangled Fritillary,Speyeria cybele,Great Spangled Fritillary,Insecta,47980,Speyeria
3477928,2016/06/18 11:41 AM -0400,2016-06-18,2016-06-18 14:41:00 UTC,Atlantic Time (Canada),10787,maractwin,2016-06-18 18:17:21 UTC,2016-06-19 12:41:56 UTC,research,CC-BY,http://www.inaturalist.org/observations/3477928,https://static.inaturalist.org/photos/4043325/medium.jpg?1466273753,,"american lady, broad meadow brook, butterflies, worcester",,1,0,false,,"Worcester, Massachusetts, United States",42.2344466667,-71.7807166667,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,American Lady,Vanessa virginiensis,American Lady,Insecta,48549,Vanessa
3477930,2016/06/18 11:47 AM -0400,2016-06-18,2016-06-18 14:47:00 UTC,Atlantic Time (Canada),10787,maractwin,2016-06-18 18:17:21 UTC,2017-03-04 12:00:57 UTC,research,CC-BY,http://www.inaturalist.org/observations/3477930,https://static.inaturalist.org/photos/4043327/medium.jpg?1466273760,,"broad meadow brook, butterflies, northern cloudywing, worcester",,1,0,false,,"Worcester, Massachusetts, United States",42.2348716667,-71.7745983333,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Northern Cloudywing,Thorybes pylades,Northern Cloudywing,Insecta,58469,Thorybes
3477931,2016/06/18 11:49 AM -0400,2016-06-18,2016-06-18 14:49:00 UTC,Atlantic Time (Canada),10787,maractwin,2016-06-18 18:17:22 UTC,2016-06-19 04:12:25 UTC,research,CC-BY,http://www.inaturalist.org/observations/3477931,https://static.inaturalist.org/photos/4043328/medium.jpg?1466273760,,"broad meadow brook, butterflies, silver-spotted skipper, worcester",,1,0,false,,"Worcester, Massachusetts, United States",42.235235,-71.7748816667,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Silver-spotted Skipper,Epargyreus clarus,Silver-spotted Skipper,Insecta,81559,Epargyreus
3477932,2016/06/18 12:07 PM -0400,2016-06-18,2016-06-18 15:07:00 UTC,Atlantic Time (Canada),10787,maractwin,2016-06-18 18:17:23 UTC,2016-12-26 05:16:43 UTC,research,CC-BY,http://www.inaturalist.org/observations/3477932,https://static.inaturalist.org/photos/4043329/medium.jpg?1466273761,,"broad meadow brook, butterflies, caterpilar, gypsy moth, worcester",,1,0,false,,"Worcester, Massachusetts, United States",42.23698,-71.77659,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Gypsy Moth,Lymantria dispar,Gypsy Moth,Insecta,47802,Lymantria
3477933,2016/06/18 12:13 PM -0400,2016-06-18,2016-06-18 15:13:00 UTC,Atlantic Time (Canada),10787,maractwin,2016-06-18 18:17:23 UTC,2017-03-04 12:11:18 UTC,research,CC-BY,http://www.inaturalist.org/observations/3477933,https://static.inaturalist.org/photos/4043331/medium.jpg?1466273761,,"broad meadow brook, butterflies, northern cloudywing, worcester",,1,0,false,,"Worcester, Massachusetts, United States",42.2404116667,-71.7763033333,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Northern Cloudywing,Thorybes pylades,Northern Cloudywing,Insecta,58469,Thorybes
3477934,2016/06/18 12:13 PM -0400,2016-06-18,2016-06-18 15:13:00 UTC,Atlantic Time (Canada),10787,maractwin,2016-06-18 18:17:24 UTC,2016-06-26 09:07:28 UTC,research,CC-BY,http://www.inaturalist.org/observations/3477934,https://static.inaturalist.org/photos/4043330/medium.jpg?1466273761,,"birds, broad meadow brook, eastern towhee, worcester",,1,0,false,,"Worcester, Massachusetts, United States",42.2404516667,-71.7763733333,,,open,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Eastern Towhee,Pipilo erythrophthalmus,Eastern Towhee,Aves,9424,Pipilo
3515894,2016/06/24 1:35 PM EDT,2016-06-24,2016-06-24 17:35:00 UTC,Eastern Time (US & Canada),10787,maractwin,2016-06-24 22:01:46 UTC,2016-06-26 10:45:29 UTC,research,CC-BY,http://www.inaturalist.org/observations/3515894,https://static.inaturalist.org/photos/4094546/medium.jpg?1466805589,,"",,2,0,false,,"Worcester, Massachusetts, United States",42.2400816667,-71.7766466667,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Eastern Tailed-Blue,Cupido comyntas,Eastern Tailed-Blue,Insecta,122381,Cupido
3515895,2016/06/24 1:09 PM EDT,2016-06-24,2016-06-24 17:09:00 UTC,Eastern Time (US & Canada),10787,maractwin,2016-06-24 22:01:46 UTC,2016-06-26 10:45:29 UTC,research,CC-BY,http://www.inaturalist.org/observations/3515895,https://static.inaturalist.org/photos/4094547/medium.jpg?1466805591,,"",,2,0,false,,"Worcester, Massachusetts, United States",42.2367933333,-71.77663,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Banded Hairstreak,Satyrium calanus,Banded Hairstreak,Insecta,58539,Satyrium
3515896,2016/06/24 12:54 PM EDT,2016-06-24,2016-06-24 16:54:00 UTC,Eastern Time (US & Canada),10787,maractwin,2016-06-24 22:01:46 UTC,2016-06-26 10:45:30 UTC,research,CC-BY,http://www.inaturalist.org/observations/3515896,https://static.inaturalist.org/photos/4094548/medium.jpg?1466805595,,"",,1,0,false,,"Worcester, Massachusetts, United States",42.23555,-71.77689,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Hoary Edge,Achalarus lyciades,Hoary Edge,Insecta,127929,Achalarus
3515897,2016/06/24 12:35 PM EDT,2016-06-24,2016-06-24 16:35:00 UTC,Eastern Time (US & Canada),10787,maractwin,2016-06-24 22:01:47 UTC,2016-06-26 10:45:30 UTC,research,CC-BY,http://www.inaturalist.org/observations/3515897,https://static.inaturalist.org/photos/4094550/medium.jpg?1466805597,,"",,2,0,false,,"Worcester, Massachusetts, United States",42.2357016667,-71.7754466667,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Spicebush Swallowtail,Papilio troilus,Spicebush Swallowtail,Insecta,58525,Papilio
3515899,2016/06/24 12:17 PM EDT,2016-06-24,2016-06-24 16:17:00 UTC,Eastern Time (US & Canada),10787,maractwin,2016-06-24 22:01:47 UTC,2016-06-26 10:45:31 UTC,research,CC-BY,http://www.inaturalist.org/observations/3515899,https://static.inaturalist.org/photos/4094554/medium.jpg?1466805602,,"",,1,0,false,,"Worcester, Massachusetts, United States",42.2339633333,-71.7742533333,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Peck's Skipper,Polites peckius,Peck's Skipper,Insecta,133631,Polites
3515900,2016/06/24 11:20 AM EDT,2016-06-24,2016-06-24 15:20:00 UTC,Eastern Time (US & Canada),10787,maractwin,2016-06-24 22:01:48 UTC,2016-06-26 10:45:31 UTC,research,CC-BY,http://www.inaturalist.org/observations/3515900,https://static.inaturalist.org/photos/4094556/medium.jpg?1466805607,,"",,2,0,false,,"Worcester, Massachusetts, United States",42.2345983333,-71.77463,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,American Lady,Vanessa virginiensis,American Lady,Insecta,48549,Vanessa
3515901,2016/06/24 10:30 AM EDT,2016-06-24,2016-06-24 14:30:00 UTC,Eastern Time (US & Canada),10787,maractwin,2016-06-24 22:01:48 UTC,2016-06-26 10:45:32 UTC,research,CC-BY,http://www.inaturalist.org/observations/3515901,https://static.inaturalist.org/photos/4094558/medium.jpg?1466805613,,"",,2,0,false,,"Worcester, Massachusetts, United States",42.2412016667,-71.776715,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Eastern Tailed-Blue,Cupido comyntas,Eastern Tailed-Blue,Insecta,122381,Cupido
3515906,2016/06/24 12:59 PM EDT,2016-06-24,2016-06-24 16:59:00 UTC,Eastern Time (US & Canada),10787,maractwin,2016-06-24 22:02:35 UTC,2016-06-26 09:46:37 UTC,research,CC-BY,http://www.inaturalist.org/observations/3515906,https://static.inaturalist.org/photos/4094581/medium.jpg?1466805740,,"",,1,0,false,,"Broadmeadow Brook, Worcester, MA, USA",42.2358066667,-71.776885,,,open,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Great Blue Heron,Ardea herodias,Great Blue Heron,Aves,4956,Ardea
3515907,2016/06/24 1:03 PM EDT,2016-06-24,2016-06-24 17:03:00 UTC,Eastern Time (US & Canada),10787,maractwin,2016-06-24 22:02:36 UTC,2016-06-26 09:46:37 UTC,research,CC-BY,http://www.inaturalist.org/observations/3515907,https://static.inaturalist.org/photos/4094582/medium.jpg?1466805743,,"",,2,0,false,,"Broadmeadow Brook, Worcester, MA, USA",42.23588,-71.7766166667,,,open,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Great Crested Flycatcher,Myiarchus crinitus,Great Crested Flycatcher,Aves,16028,Myiarchus
3515909,2016/06/24 11:35 AM EDT,2016-06-24,2016-06-24 15:35:00 UTC,Eastern Time (US & Canada),10787,maractwin,2016-06-24 22:02:36 UTC,2016-06-26 09:46:38 UTC,research,CC-BY,http://www.inaturalist.org/observations/3515909,https://static.inaturalist.org/photos/4094587/medium.jpg?1466805751,,"",,2,0,false,,"Broadmeadow Brook, Worcester, MA, USA",42.231255,-71.7733133333,,,open,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Eastern Towhee,Pipilo erythrophthalmus,Eastern Towhee,Aves,9424,Pipilo
3515910,2016/06/24 12:08 PM EDT,2016-06-24,2016-06-24 16:08:00 UTC,Eastern Time (US & Canada),10787,maractwin,2016-06-24 22:02:37 UTC,2016-06-26 09:46:38 UTC,research,CC-BY,http://www.inaturalist.org/observations/3515910,https://static.inaturalist.org/photos/4094588/medium.jpg?1466805754,,"",,2,0,false,,"Broadmeadow Brook, Worcester, MA, USA",42.2308433333,-71.7731433333,,,open,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Turkey Vulture,Cathartes aura,Turkey Vulture,Aves,4756,Cathartes
3515938,2016/06/24 11:39 AM EDT,2016-06-24,2016-06-24 15:39:00 UTC,Eastern Time (US & Canada),10787,maractwin,2016-06-24 22:07:31 UTC,2016-08-08 23:47:59 UTC,research,CC-BY,http://www.inaturalist.org/observations/3515938,https://static.inaturalist.org/photos/4094619/medium.jpg?1466806037,,"",,2,0,false,,"Broadmeadow Brook, Worcester, MA, USA",42.2308016667,-71.7732733333,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Painted Skimmer,Libellula semifasciata,Painted Skimmer,Insecta,104585,Libellula
3515939,2016/06/24 11:52 AM EDT,2016-06-24,2016-06-24 15:52:00 UTC,Eastern Time (US & Canada),10787,maractwin,2016-06-24 22:07:32 UTC,2016-08-08 23:47:59 UTC,research,CC-BY,http://www.inaturalist.org/observations/3515939,https://static.inaturalist.org/photos/4094620/medium.jpg?1466806041,,"",,1,0,false,,"Broadmeadow Brook, Worcester, MA, USA",42.228785,-71.77261,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Painted Skimmer,Libellula semifasciata,Painted Skimmer,Insecta,104585,Libellula
3515989,2016/06/24 12:42 PM EDT,2016-06-24,2016-06-24 16:42:00 UTC,Eastern Time (US & Canada),10787,maractwin,2016-06-24 22:18:13 UTC,2016-08-08 23:48:01 UTC,research,CC-BY,http://www.inaturalist.org/observations/3515989,https://static.inaturalist.org/photos/4094688/medium.jpg?1466806633,,"",,2,0,false,,"Worcester, Massachusetts, United States",42.2358866667,-71.775535,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Azure Bluet,Enallagma aspersum,Azure Bluet,Insecta,99891,Enallagma
3515993,2016/06/24 11:23 AM EDT,2016-06-24,2016-06-24 15:23:00 UTC,Eastern Time (US & Canada),10787,maractwin,2016-06-24 22:18:15 UTC,2018-07-14 00:47:53 UTC,research,CC-BY,http://www.inaturalist.org/observations/3515993,https://static.inaturalist.org/photos/4094692/medium.jpg?1466806644,,"",,3,0,false,,"Worcester, Massachusetts, United States",42.2344566667,-71.7746633333,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Eastern Chipmunk,Tamias striatus,Eastern Chipmunk,Mammalia,46217,Tamias
3515994,2016/06/24 10:59 AM EDT,2016-06-24,2016-06-24 14:59:00 UTC,Eastern Time (US & Canada),10787,maractwin,2016-06-24 22:18:15 UTC,2016-08-08 23:48:01 UTC,research,CC-BY,http://www.inaturalist.org/observations/3515994,https://static.inaturalist.org/photos/4094693/medium.jpg?1466806649,,"",,2,0,false,,"Worcester, Massachusetts, United States",42.23601,-71.7758033333,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Azure Bluet,Enallagma aspersum,Azure Bluet,Insecta,99891,Enallagma
3515995,2016/06/24 10:36 AM EDT,2016-06-24,2016-06-24 14:36:00 UTC,Eastern Time (US & Canada),10787,maractwin,2016-06-24 22:18:15 UTC,2018-06-04 03:27:49 UTC,research,CC-BY,http://www.inaturalist.org/observations/3515995,https://static.inaturalist.org/photos/4094694/medium.jpg?1466806651,,"",,1,0,false,,"Worcester, Massachusetts, United States",42.239835,-71.777335,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Banded Olethreutes Moth,Olethreutes fasciatana,Banded Olethreutes Moth,Insecta,143659,Olethreutes
3515998,2016/06/24 10:26 AM EDT,2016-06-24,2016-06-24 14:26:00 UTC,Eastern Time (US & Canada),10787,maractwin,2016-06-24 22:18:16 UTC,2016-12-26 05:14:50 UTC,research,CC-BY,http://www.inaturalist.org/observations/3515998,https://static.inaturalist.org/photos/4094697/medium.jpg?1466806660,,"",,1,0,false,,"Worcester, Massachusetts, United States",42.2413533333,-71.7759583333,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Gypsy Moth,Lymantria dispar,Gypsy Moth,Insecta,47802,Lymantria
3515999,2016/06/24 10:21 AM EDT,2016-06-24,2016-06-24 14:21:00 UTC,Eastern Time (US & Canada),10787,maractwin,2016-06-24 22:18:16 UTC,2016-06-29 21:50:11 UTC,research,CC-BY,http://www.inaturalist.org/observations/3515999,https://static.inaturalist.org/photos/4094698/medium.jpg?1466806661,,"",,3,0,false,,"Worcester, Massachusetts, United States",42.242665,-71.7761966667,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Six-spotted Tiger Beetle,Cicindela sexguttata,Six-spotted Tiger Beetle,Insecta,49566,Cicindela
3516004,2016/06/24 11:19 AM EDT,2016-06-24,2016-06-24 15:19:00 UTC,Eastern Time (US & Canada),10787,maractwin,2016-06-24 22:20:47 UTC,2016-06-24 23:24:23 UTC,research,CC-BY,http://www.inaturalist.org/observations/3516004,https://static.inaturalist.org/photos/4094708/medium.jpg?1466806840,,"",,1,0,false,,"Broadmeadow Brook, Worcester, MA, USA",42.2351616667,-71.77518,,,,false,,,"Worcester, MA, USA",Worcester,Massachusetts,United States,Massachusetts,Worcester,Deptford Pink,Dianthus armeria,deptford pink,Plantae,64541,Dianthus
